HRU,SC,ORDEN,QF,OBS,SEG,ESTAC
260,4,4,1,1,1,Estero Pocuro en el Sifon
261,4,4,1,1,1,Estero Pocuro en el Sifon
274,4,4,1,1,1,Estero Pocuro en el Sifon
275,4,4,1,1,1,Estero Pocuro en el Sifon
276,4,4,1,1,1,Estero Pocuro en el Sifon
277,4,4,1,1,1,Estero Pocuro en el Sifon
278,4,4,1,1,1,Estero Pocuro en el Sifon
279,4,4,1,1,1,Estero Pocuro en el Sifon
280,4,4,1,1,1,Estero Pocuro en el Sifon
287,4,4,1,1,1,Estero Pocuro en el Sifon
300,4,4,1,1,1,Estero Pocuro en el Sifon
301,4,4,1,1,1,Estero Pocuro en el Sifon
302,4,4,1,1,1,Estero Pocuro en el Sifon
303,4,4,1,1,1,Estero Pocuro en el Sifon
304,4,4,1,1,1,Estero Pocuro en el Sifon
305,4,4,1,1,1,Estero Pocuro en el Sifon
306,4,4,1,1,1,Estero Pocuro en el Sifon
307,4,4,1,1,1,Estero Pocuro en el Sifon
313,4,4,1,1,1,Estero Pocuro en el Sifon
314,4,4,1,1,1,Estero Pocuro en el Sifon
332,4,4,1,1,1,Estero Pocuro en el Sifon
333,4,4,1,1,1,Estero Pocuro en el Sifon
358,4,4,1,1,1,Estero Pocuro en el Sifon
359,4,4,1,1,1,Estero Pocuro en el Sifon
385,4,4,1,1,1,Estero Pocuro en el Sifon
386,4,4,1,1,1,Estero Pocuro en el Sifon
413,4,4,1,1,1,Estero Pocuro en el Sifon
441,4,4,1,1,1,Estero Pocuro en el Sifon
442,4,4,1,1,1,Estero Pocuro en el Sifon
444,4,4,1,1,1,Estero Pocuro en el Sifon
465,4,4,1,1,1,Estero Pocuro en el Sifon
466,4,4,1,1,1,Estero Pocuro en el Sifon
468,4,4,1,1,1,Estero Pocuro en el Sifon
469,4,4,1,1,1,Estero Pocuro en el Sifon
470,4,4,1,1,1,Estero Pocuro en el Sifon
489,4,4,1,1,1,Estero Pocuro en el Sifon
490,4,4,1,1,1,Estero Pocuro en el Sifon
491,4,4,1,1,1,Estero Pocuro en el Sifon
492,4,4,1,1,1,Estero Pocuro en el Sifon
493,4,4,1,1,1,Estero Pocuro en el Sifon
513,4,4,1,1,1,Estero Pocuro en el Sifon
514,4,4,1,1,1,Estero Pocuro en el Sifon
515,4,4,1,1,1,Estero Pocuro en el Sifon
516,4,4,1,1,1,Estero Pocuro en el Sifon
517,4,4,1,1,1,Estero Pocuro en el Sifon
518,4,4,1,1,1,Estero Pocuro en el Sifon
539,4,4,1,1,1,Estero Pocuro en el Sifon
563,4,4,1,1,1,Estero Pocuro en el Sifon
564,4,4,1,1,1,Estero Pocuro en el Sifon
584,4,4,1,1,1,Estero Pocuro en el Sifon
585,4,4,1,1,1,Estero Pocuro en el Sifon
586,4,4,1,1,1,Estero Pocuro en el Sifon
587,4,4,1,1,1,Estero Pocuro en el Sifon
588,4,4,1,1,1,Estero Pocuro en el Sifon
599,4,4,1,1,1,Estero Pocuro en el Sifon
607,4,4,1,1,1,Estero Pocuro en el Sifon
608,4,4,1,1,1,Estero Pocuro en el Sifon
609,4,4,1,1,1,Estero Pocuro en el Sifon
610,4,4,1,1,1,Estero Pocuro en el Sifon
616,4,4,1,1,1,Estero Pocuro en el Sifon
617,4,4,1,1,1,Estero Pocuro en el Sifon
624,4,4,1,1,1,Estero Pocuro en el Sifon
625,4,4,1,1,1,Estero Pocuro en el Sifon
626,4,4,1,1,1,Estero Pocuro en el Sifon
627,4,4,1,1,1,Estero Pocuro en el Sifon
632,4,4,1,1,1,Estero Pocuro en el Sifon
633,4,4,1,1,1,Estero Pocuro en el Sifon
636,4,4,1,1,1,Estero Pocuro en el Sifon
637,4,4,1,1,1,Estero Pocuro en el Sifon
638,4,4,1,1,1,Estero Pocuro en el Sifon
639,4,4,1,1,1,Estero Pocuro en el Sifon
640,4,4,1,1,1,Estero Pocuro en el Sifon
641,4,4,1,1,1,Estero Pocuro en el Sifon
646,4,4,1,1,1,Estero Pocuro en el Sifon
650,4,4,1,1,1,Estero Pocuro en el Sifon
651,4,4,1,1,1,Estero Pocuro en el Sifon
652,4,4,1,1,1,Estero Pocuro en el Sifon
659,4,4,1,1,1,Estero Pocuro en el Sifon
660,4,4,1,1,1,Estero Pocuro en el Sifon
662,4,4,1,1,1,Estero Pocuro en el Sifon
663,4,4,1,1,1,Estero Pocuro en el Sifon
664,4,4,1,1,1,Estero Pocuro en el Sifon
672,4,4,1,1,1,Estero Pocuro en el Sifon
